mv_id,polarity_mean,polarity_std,comment_count,count_positive,count_negative,positive_ratio,negative_ratio
239,0.2007904661218572,0.5941232030780388,1389,865,524,0.6227501799856011,0.37724982001439883
240,0.3700058480878924,0.5000147119638523,314,242,72,0.7707006369426752,0.22929936305732485
241,-0.3816835366931737,0.5259725056687525,133,32,101,0.24060150375939848,0.7593984962406015
242,0.128749210753668,0.6088817132113493,206,117,89,0.5679611650485437,0.4320388349514563
243,0.11703102626919622,0.595564043443803,478,271,207,0.5669456066945606,0.4330543933054393
244,0.22494681336534902,0.5930434713160325,156,98,58,0.6282051282051282,0.3717948717948718
245,0.08608705841219254,0.6808276998968879,139,73,66,0.5251798561151079,0.4748201438848921
246,0.05090380136007995,0.690188326180416,287,133,154,0.4634146341463415,0.5365853658536586
247,0.1117298101512388,0.6392247351195415,313,173,140,0.5527156549520766,0.4472843450479233
248,-0.043993739404534694,0.7045852165119983,139,63,76,0.45323741007194246,0.5467625899280576
249,-0.21508079292304114,0.5544719008023843,1991,628,1363,0.31541938724259166,0.6845806127574083
250,0.3273690960601352,0.6149293552259388,157,117,40,0.7452229299363057,0.25477707006369427
251,0.09142205078197704,0.6573063623249128,521,286,235,0.5489443378119002,0.4510556621880998
252,0.12094918517258894,0.5728379235745739,272,155,117,0.5698529411764706,0.43014705882352944
253,0.00458085539274558,0.5655897083786493,221,111,110,0.502262443438914,0.497737556561086
254,0.32740934791279513,0.5481842456510876,213,150,63,0.704225352112676,0.29577464788732394
255,-0.07577734515977513,0.6320398685527108,226,97,129,0.42920353982300885,0.5707964601769911
256,-0.24620487624114112,0.612004864094218,168,54,114,0.32142857142857145,0.6785714285714286
257,0.06463470903690904,0.5283742952011579,552,261,291,0.47282608695652173,0.5271739130434783
259,-0.09057821697192572,0.6051711000963509,213,91,122,0.4272300469483568,0.5727699530516432
260,-0.16780267901814136,0.6519760106637089,78,30,48,0.38461538461538464,0.6153846153846154
261,0.039124478845399595,0.6263101408282502,456,226,230,0.4956140350877193,0.5043859649122807
262,-0.2738960159720764,0.5713129693860701,210,56,154,0.26666666666666666,0.7333333333333333
263,0.11209600680283091,0.6600104039822202,369,203,166,0.5501355013550135,0.44986449864498645
264,-0.023785310711613616,0.6837663170316397,228,108,120,0.47368421052631576,0.5263157894736842
265,0.05018009316428737,0.638880176940246,59,32,27,0.5423728813559322,0.4576271186440678
266,-0.13552381449379028,0.617957113125224,100,38,62,0.38,0.62
267,-0.07783255658459164,0.6765763429727744,137,64,73,0.46715328467153283,0.5328467153284672
268,0.10060506724548443,0.5984932935166576,461,259,202,0.561822125813449,0.43817787418655096
269,0.07925915192683694,0.6573573909706055,1213,655,558,0.5399835119538334,0.4600164880461665
270,-0.06368721062263658,0.6410685841861273,173,74,99,0.4277456647398844,0.5722543352601156
271,-0.1795966535913799,0.603625802520321,226,81,145,0.3584070796460177,0.6415929203539823
272,-0.012757037702555719,0.6959433533986843,665,324,341,0.48721804511278194,0.512781954887218
273,0.4922426006217536,0.5166801792552669,76,61,15,0.8026315789473685,0.19736842105263158
274,0.2736625143566475,0.660629881028236,307,203,104,0.6612377850162866,0.33876221498371334
275,0.06762852429367629,0.5913585178916585,271,137,134,0.5055350553505535,0.4944649446494465
276,-0.41362397046759725,0.48951432306632603,20,5,15,0.25,0.75
277,0.07635505709935117,0.5843108019665425,135,70,65,0.5185185185185185,0.48148148148148145
