id,title,year,rating_count,rating_score,tp_drama,tp_comedy,tp_action,tp_romance,polarity_mean,polarity_std,comment_count,positive_ratio,negative_ratio,box_off,avg_price,avg_attend
535,狼图腾,2015,336.0,4.4,1,0,0,0,-0.4264218927171357,0.528351651177787,108,0.1851851851851851,0.8148148148148148,70025,39.419004585533735,34.158857550874686
545,老枪,2024,,,1,0,0,0,0.2500037668574163,0.6173160927065129,68,0.6470588235294118,0.3529411764705882,563,37.25,1.0
547,白幽灵传奇之绝命逃亡,2014,134.0,6.5,0,0,1,0,-0.045001852199814,0.6389643300361318,59,0.4576271186440678,0.5423728813559322,2417,37.06487702730658,8.506412908564336
553,天堂旅行团,2025,,,1,0,0,0,-0.1642393150752218,0.6888057817407935,58,0.3448275862068966,0.6551724137931034,6599,38.79418,2.0
557,绝地重生,2024,,,1,0,0,0,-0.4273456549271941,0.4869200123193349,20,0.15,0.85,1117,36.158035,20.0
562,秋之白华,2011,130.0,9.1,1,0,0,1,0.3472485079176046,0.6113556759046067,44,0.75,0.25,296,46.46552,20.0
573,命中罪爱,2025,,,1,0,0,0,-0.0280611540444872,0.7338366534492108,11,0.6363636363636364,0.3636363636363636,128,35.442467,1.0
590,我会好好的,2025,,,1,0,0,0,0.178168512486781,0.8022348467674648,26,0.6153846153846154,0.3846153846153846,2491,37.88101,1.0
604,捍卫者,2017,,,1,0,0,0,0.2771178980315612,0.5837194493497582,44,0.6590909090909091,0.3409090909090909,1033,30.782995,9.0
607,宝葫芦的秘密,2011,,,0,1,0,0,0.2002875460893847,0.5702490714325592,16,0.5,0.5,6,13.380953,323.0
608,我知女人心,2011,,,0,1,0,1,0.166765021905303,0.6546999620524385,10,0.6,0.4,6530,34.57109,24.0
614,非常幸运,2013,,,0,1,0,1,0.0654131680993097,0.6612666991956031,28,0.6071428571428571,0.3928571428571428,13660,32.257214,17.0
624,形影不离,2012,,,1,0,0,0,-0.1630443618411109,0.674376570602472,21,0.3333333333333333,0.6666666666666666,888,30.83911,7.0
630,花漾,2013,,,1,0,0,1,0.5931314533310277,0.3807530750207928,7,0.8571428571428571,0.1428571428571428,210,31.449875,3.0
636,新大头儿子和小头爸爸6：迷你大冒险,2024,,,0,1,0,0,-0.1373142413939013,0.599423164528985,194,0.3711340206185567,0.6288659793814433,2823,33.830803,5.0
639,我最好朋友的婚礼,2016,,,0,1,0,1,-0.1913887033135526,0.640896949419815,18,0.2777777777777778,0.7222222222222222,3741,28.693634,11.0
652,使徒行者,2016,,,1,0,1,0,0.3463821972254663,0.6239277907555475,16,0.6875,0.3125,60531,29.397663,24.0
653,冥绝村,2023,,,1,0,0,0,-0.2685337514665566,0.5018745924842571,19,0.3157894736842105,0.6842105263157895,771,32.062737,2.0
658,来自汪星的你,2024,,,0,1,0,0,0.2414836470658581,0.6845009849068916,9,0.5555555555555556,0.4444444444444444,609,37.026897,1.0
660,特工艾米拉,2014,,,0,0,1,0,-0.2897369362413883,0.7643351280678328,5,0.4,0.6,721,31.592909,5.0
673,荡寇风云,2017,,,0,0,1,0,0.1675653744299533,0.601441676429991,59,0.576271186440678,0.423728813559322,6513,32.902115,12.0
674,野蛮人入侵,2023,,,1,0,0,0,0.0367956097636903,0.6006602364622613,7,0.5714285714285714,0.4285714285714285,100,39.132645,6.0
675,超时空救兵,2012,,,0,1,1,0,-0.0050964881666004,0.6864614792466404,16,0.375,0.625,369,31.322662000000005,10.0
676,闺蜜,2014,,,0,1,0,1,-0.218668939969079,0.5424538498738398,11,0.3636363636363636,0.6363636363636364,20443,31.873175,23.0
